Symbol,Values,Total Traded amount
ADBL,368.00,5639
AHPC,93.00,190
AKPL,112.00,110
ALBSL,618.00,851
ALICL,492.00,3443
API,116.00,2980
BFC,95.00,50
BOKL,218.00,10899
BPCL,330.00,1300
CBBL,955.00,860
CBL,138.00,1836
CCBL,159.00,4416
CFCL,122.00,1275
CHCL,368.00,2509
CIT,"2,440.00",1394
CLBSL,"1,042.00",70
CZBIL,180.00,3796
DDBL,759.00,120
EBL,612.00,5866
EIC,345.00,1630
FMDBL,415.00,3240
FOWAD,"1,380.00",1187
GBBL,220.00,629
GBIME,248.00,20871
GBLBS,404.00,2210
GFCL,136.00,50
GGBSL,705.00,10
GILB,"1,115.00",176
GLICL,403.00,550
GMFBS,753.00,120
GMFIL,116.00,60
HBL,500.00,1158
HDHPC,82.00,220
HDL,"1,280.00",11330
HGI,335.00,1190
HIDCL,129.00,1200
ICFC,169.00,110
ILBS,655.00,50
JBBL,166.00,322
JSLBB,"1,890.00",1064
KBL,177.00,13858
KMCDB,738.00,348
KPCL,108.00,430
KSBBL,152.00,200
LBBL,178.00,2919
LBL,200.00,8637
LGIL,396.00,990
LICN,"1,137.00",3336
LLBS,956.00,100
MBL,215.00,6232
MDB,332.00,1
MEGA,214.00,9911
MERO,540.00,800
MFIL,250.00,340
MLBBL,604.00,100
MLBL,197.00,2041
MNBBL,296.00,6992
MPFL,119.00,226
NABIL,701.00,15101
NADEP,534.00,1604
NBB,197.00,2912
NBL,251.00,20983
NCCB,178.00,8372
NGPL,105.00,500
NHPC,53.00,460
NIB,373.00,2600
NIBPO,324.00,4014
NICA,496.00,22489
NICAP,250.00,34555
NICL,347.00,3286
NIL,485.00,236
NLBBL,661.00,49
NLG,545.00,65
NLIC,"1,054.00",27607
NLICL,559.00,2907
NMB,377.00,51747
NMBMF,755.00,4295
NSEWA,580.00,50
NTC,623.00,275
OHL,339.00,500
PCBL,252.00,33352
PFL,153.00,17
PIC,489.00,25
PICL,404.00,330
PLIC,499.00,4996
PRIN,360.00,730
PROFL,102.00,10
PRVU,225.00,11659
RADHI,175.00,11
RBCLPO,"7,447.00",20
RHPC,78.00,3050
RHPL,153.00,10240
RLFL,130.00,10
RMDC,590.00,1593
RSDC,441.00,256
SABSL,709.00,11
SADBL,143.00,1079
SANIMA,324.00,11110
SBI,412.00,570
SBL,289.00,11987
SCB,590.00,4563
SDESI,775.00,99
SHINE,255.00,1770
SHIVM,487.00,6300
SHL,166.00,600
SHPC,198.00,600
SICL,845.00,410
SIFC,141.00,500
SIL,460.00,40
SINDU,125.00,1772
SJCL,141.00,500
SKBBL,990.00,1727
SLBBL,774.00,550
SLICL,377.00,2270
SMB,784.00,30
SPARS,693.00,76
SRBL,233.00,4902
STC,"2,400.00",80
TRH,206.00,1575
UIC,307.00,636
UMHL,100.00,519
UPCL,73.00,10
UPPER,227.00,2893
